SEED_NO,10,NO_OF_MCTS_CASES,0,CASE_STUDY_NO,10,MAX_OF_SUB_CASE_STUDY,1,DIFF_MCTS_SIM_CASES_EXP,false,PEDICTOR_NAME,REPTree-Low-PH1.model,TOTAL_SIM_DAYS,7,HOURS_IN_A_DAY,24,TOTAL_HOUR_AHEAD_AUCTIONS,24,NUMBER_OF_BROKERS,4,NUMBER_OF_PRODUCERS,1,PERHOURENERGYDEMAND,1.0,VARMCTSAGENTITERATION,10000,MCTSBROKERDEMANDPERC,0.25,USEDPPREDICTOR,false
Seed, CaseStudy, MCTSimulations, Auctions,HourAhead,ZI,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,TacTex,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,MCTSX,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,ZIP,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,
10,1,10000,	168,24,ZI,2573.76,-33213.72,-12.90,0.00,0.00,0.00,-0.00,-33213.72,-33213.72,100.00,TacTex,2573.64,-47511.13,-18.46,0.00,0.00,0.00,-108.21,-47511.13,-47619.34,100.00,MCTSX,2573.77,-78098.04,-30.34,0.00,0.00,0.00,-0.99,-78098.04,-78099.03,100.00,ZIP,2573.76,-33213.72,-12.90,0.00,0.00,0.00,-0.00,-33213.72,-33213.72,100.00,
ha,avgmcp,count,err
0,44.90592364749707,0,7.681567970864249
1,47.057743862647975,0,22.933974683863394
2,46.99137065343137,0,22.480259660916513
3,46.64416265679055,0,22.717014582247334
4,46.39601655540467,0,23.012487848584595
5,46.32997354186012,0,35.41859439097237
6,51.234275375782246,0,80.17023845905392
7,51.301258532023965,0,80.15212545224635
8,50.869975504382374,0,80.22636921931002
9,49.85349641903585,0,80.42463236325489
10,49.31700214541031,0,80.54052116120178
11,49.36493855785361,0,80.1244877138189
12,43.54728387873973,0,70.26837949970404
13,41.517388484204865,0,55.18177478611367
14,42.516288458754396,0,14.645371098995927
15,42.40061182885724,0,15.275880632585622
16,42.3533159621556,0,15.350613551755874
17,42.27722002491739,0,21.98723113751642
18,42.0191623479846,0,22.467913814219692
19,41.63161465745018,0,80.17952399257867
20,41.47971131656213,0,86.81652841476541
21,41.22286518642622,0,86.9039477266421
22,40.526137328819026,0,88.6514750827563
23,12.904724126724048,168,96.38629307022228
Avg Error 52.91655026309127
SEED_NO,2,NO_OF_MCTS_CASES,0,CASE_STUDY_NO,10,MAX_OF_SUB_CASE_STUDY,1,DIFF_MCTS_SIM_CASES_EXP,false,PEDICTOR_NAME,REPTree-Low-PH2-b0-3.model,TOTAL_SIM_DAYS,60,HOURS_IN_A_DAY,24,TOTAL_HOUR_AHEAD_AUCTIONS,24,NUMBER_OF_BROKERS,4,NUMBER_OF_PRODUCERS,1,PERHOURENERGYDEMAND,1.0,VARMCTSAGENTITERATION,10000,MCTSBROKERDEMANDPERC,0.25,USEDPPREDICTOR,true
Seed, CaseStudy, MCTSimulations, Auctions,HourAhead,ZI,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,TacTex,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,MCTSX,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,ZIP,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,
2,1,10000,	1440,24,ZI,21312.38,-481008.96,-22.57,0.00,0.00,0.00,-0.00,-481008.96,-481008.96,100.00,TacTex,21311.88,-390361.80,-18.32,0.00,0.00,0.00,-992.61,-390361.80,-391354.42,100.00,MCTSX,21312.60,-404036.38,-18.96,0.00,0.00,0.00,-157.07,-404036.38,-404193.45,100.00,ZIP,21312.38,-281221.23,-13.20,0.00,0.00,0.00,-0.00,-281221.23,-281221.23,100.00,
ha,avgmcp,count,err
0,44.45511780678798,0,38.13477411877194
1,59.89642975359092,0,95.25527314520515
2,58.24068202044651,0,94.34625294886001
3,55.71937074208831,0,93.22080884756711
4,54.993821666839644,0,91.15702183506907
5,47.724676518260985,0,83.15443775190148
6,47.70513005055696,0,82.07870353385665
7,47.65711726461494,0,79.45572966586548
8,46.702378270867406,0,80.43603355106876
9,46.82232143175595,0,80.99328201150433
10,46.8317139599077,0,76.8474580586986
11,45.492984162551295,0,70.58007935501523
12,45.56261858810223,0,75.59027972141165
13,45.217541784381766,0,75.62308602743438
14,44.78359497189303,0,75.08184240933159
15,44.89448582090361,0,69.56564625837996
16,43.90887808095207,0,65.23030388138206
17,40.046088529529925,0,26.550869207040527
18,39.847951089951536,0,15.105379163645868
19,39.64387395104901,0,14.611918275854123
20,39.34776819190295,0,14.907350169311437
21,39.113518263806654,0,14.998690887704003
22,38.70601869122754,0,18.798095054547755
23,13.195205375610787,1440,11.998082076793683
Avg Error 60.186323465710586
