SEED_NO,1,NO_OF_MCTS_CASES,0,CASE_STUDY_NO,10,MAX_OF_SUB_CASE_STUDY,1,DIFF_MCTS_SIM_CASES_EXP,false,PEDICTOR_NAME,REPTree-Low-PH1.model,TOTAL_SIM_DAYS,7,HOURS_IN_A_DAY,24,TOTAL_HOUR_AHEAD_AUCTIONS,24,NUMBER_OF_BROKERS,4,NUMBER_OF_PRODUCERS,1,PERHOURENERGYDEMAND,0.5,VARMCTSAGENTITERATION,10000,MCTSBROKERDEMANDPERC,0.25,USEDPPREDICTOR,true
Seed, CaseStudy, MCTSimulations, Auctions,HourAhead,ZI,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,TacTex,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,MCTSX,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,ZIP,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,
1,1,10000,	168,24,ZI,147636.80,-29242425.85,-198.07,0.00,0.00,0.00,-178594913.15,-29242425.85,-207837339.00,36.80,TacTex,401134.18,-125858866.43,-313.76,0.00,0.00,0.00,-60.04,-125858866.43,-125858926.47,100.00,MCTSX,398791.63,-25254713.19,-63.33,0.00,0.00,0.00,-1648900.90,-25254713.19,-26903614.09,99.42,ZIP,317487.33,-50980593.24,-160.58,0.00,0.00,0.00,-58914565.84,-50980593.24,-109895159.08,79.15,
ha,avgmcp,count,err
0,288.07285775554817,12,18.063985234681343
1,228.48153728184923,2,8.760092080806006
2,160.9487724364852,1,7.219186470386316
3,113.45607979589683,0,6.858849305983951
4,81.38457169051759,2,8.371790321495316
5,65.3737058735167,0,9.919206808922453
6,54.92656992697012,1,11.14403659907389
7,51.506737009872474,0,11.470612923473134
8,49.98883765060728,1,10.833472220612682
9,49.572691420955024,7,10.639664318536223
10,49.39333554914153,1,11.035577012416994
11,48.85133258308695,4,10.790875414210857
12,49.42856212673575,1,12.33320428031682
13,49.8516794219467,2,13.725927807488263
14,48.6287247676736,4,11.463628056732965
15,49.06029650542156,4,12.78239705054349
16,49.19619817904636,4,13.427878337739038
17,48.30125240282581,1,12.030131684305108
18,48.05493523061536,18,12.071124660280685
19,47.590482082147574,10,11.457964536021587
20,46.872062846890245,22,10.154661675154236
21,52.51063285563761,71,23.93962750486425
22,305.3560131207758,0,618.7917978667363
23,348.8946352661261,0,721.8246855543408
Avg Error 66.62959907188011
SEED_NO,1,NO_OF_MCTS_CASES,0,CASE_STUDY_NO,10,MAX_OF_SUB_CASE_STUDY,1,DIFF_MCTS_SIM_CASES_EXP,false,PEDICTOR_NAME,REPTree-Low-PH1.model,TOTAL_SIM_DAYS,7,HOURS_IN_A_DAY,24,TOTAL_HOUR_AHEAD_AUCTIONS,24,NUMBER_OF_BROKERS,4,NUMBER_OF_PRODUCERS,1,PERHOURENERGYDEMAND,0.5,VARMCTSAGENTITERATION,10000,MCTSBROKERDEMANDPERC,0.25,USEDPPREDICTOR,false
Seed, CaseStudy, MCTSimulations, Auctions,HourAhead,ZI,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,TacTex,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,MCTSX,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,ZIP,Vol_Buy,Tot_Buy,UnitBuy,Vol_Sell,Tot_Sell,UnitSell,Penalty,Profit,Net,Percentage,
1,1,10000,	168,24,ZI,179568.90,-9112059.30,-50.74,0.00,0.00,0.00,-156078866.78,-9112059.30,-165190926.08,44.77,TacTex,401134.14,-141262439.87,-352.16,0.00,0.00,0.00,-85.25,-141262439.87,-141262525.12,100.00,MCTSX,396907.68,-27760066.53,-69.94,0.00,0.00,0.00,-2980084.67,-27760066.53,-30740151.21,98.95,ZIP,401134.21,-110435200.26,-275.31,0.00,0.00,0.00,-0.00,-110435200.26,-110435200.26,100.00,
ha,avgmcp,count,err
0,72.46082235592088,41,43.76478266015381
1,53.79924428093449,18,19.803354166181425
2,54.5453468874397,17,19.113347843691887
3,53.90057135243924,17,12.671909636815883
4,55.26742056087663,6,11.837182603895597
5,56.126192377724955,6,11.187816893240376
6,56.89299262236068,6,8.670597949879799
7,58.60839113465936,5,9.308001393143936
8,59.04156247237319,0,9.35146302167129
9,60.54378073489939,6,8.932252549951238
10,61.85278747629555,1,10.44562237962178
11,64.47581800257151,5,11.335398881772996
12,65.92977161187154,1,10.760221510537221
13,66.96716718138222,4,11.710625617388988
14,66.57430565225665,4,12.887402698233156
15,65.30411795967564,13,13.474556717733545
16,69.27613953873609,9,20.447912149701633
17,83.60149903636353,9,61.935472652770464
18,101.5427541005394,0,94.16611759278318
19,198.75624527514836,0,49.33308194115939
20,352.61059652859745,0,6.883401866323766
21,352.0289895375262,0,6.683656670477411
22,353.1399912070554,0,0.7939386882659482
23,352.51794409467414,0,0.41493697239524546
Avg Error 19.413043960741252
